social10,self_esteem,locus,ses,gpa,parent_ed
62.23,-1.65,-1.51,-0.126,3.5,2
50.11,-0.27,-0.14,0.35,3,7
31.62,-0.51,-0.14,0.515,3,5
58.18,0.65,1.43,-1.204,2.8,2
37.04,-0.1,0.07,0.503,4,5
47.29,-0.51,-0.62,-0.291,2.8,2
66.84,0.13,0.3,0.154,3,4
67.47,-0.28,0.34,0.365,3.3,5
59.06,0.09,0.73,0.35,3.8,5
60.29,0.11,0.07,0.004,3.3,3
65.78,-0.28,0.3,1.174,3.8,5
55.94,-1.16,-0.8,1.169,2.5,2
58.47,0.66,0.49,1.052,3.3,6
48.71,0.06,0.03,-0.023,4,2
50.61,-0.64,-0.18,-0.149,2,2
63.93,-0.43,0.28,-0.514,3.8,5
44.29,0.87,0.07,-0.906,2.3,2
47.5,0.42,0.72,-0.192,2.8,2
53.37,0.13,-1.07,-0.802,3,2
56.78,-1.08,0.51,0.822,3.8,5
62.84,0.23,1.18,-0.378,3,3
60.59,-0.1,-0.14,1.11,3.8,5
56.3,-0.85,-0.12,-0.045,3,2
56.41,-0.1,0.07,1.099,3,5
57.73,0.13,0.07,0.588,3.3,5
64.09,-0.28,0.3,1.152,4,6
52.39,-1.46,0.08,-1.073,2.3,2
51,-0.27,0.3,-0.261,3.8,3
48.08,-0.28,-0.41,0.213,2.3,2
56.39,-0.1,0.51,-0.161,3.5,2
56.46,0.93,0.95,0.513,4,3
37.55,0.13,0.07,0.105,3,4
45.07,-0.28,0.07,-0.758,2.8,2
52.17,-0.14,0.76,-0.122,1,4
43.88,-0.1,-0.16,0.438,1.5,2
56.55,1.33,1.43,0.912,2.8,6
31.31,0.71,0.35,0.229,2.5,2
39.72,1.1,0.72,-1.167,3,3
43.74,0.13,0.07,0.088,3.3,4
50.53,-0.45,0.27,0.164,3.3,4
56.7,0.69,0.74,0.276,3.8,5
43.21,1.33,1.43,-0.953,2,2
52.7,-0.1,0.51,-0.37,3.8,3
67.34,0.13,0.27,0.871,3.5,5
42.13,-0.06,0.69,-0.663,2.5,1
53.1,-0.64,0.07,-0.133,3.3,6
47.27,-0.45,0.52,-0.216,3,2
53.32,-0.1,-0.37,-0.555,2.8,2
45.95,0.15,-0.4,0.151,3,6
64.08,1.14,0.53,-0.421,4,5
56.59,1.14,1.2,-1.033,4,4
40.6,-0.46,0.07,-0.115,2,2
40.57,-0.28,0.51,0.786,2.5,5
59.84,0.07,0.76,1.799,4,7
65.56,0.36,0.27,1.176,4,6
54.22,-0.1,-0.16,-0.272,3,4
45.87,-0.1,0.07,0.276,2.1,2
54.61,-0.28,-0.63,-0.513,3.5,3
43.02,0.73,-1.03,-0.452,3,2
62.73,0.65,1.39,0.313,4,4
65.37,-0.33,0.07,0.581,1.6,5
64.49,0.71,0.02,0.128,3,3
65.9,-0.51,-0.37,1.164,3.5,7
62.5,0.11,0.28,1.438,2.3,7
58.44,1.33,1.43,-0.114,4,5
49.34,0.15,-0.37,0.229,2.3,3
63.35,0.54,0.52,0.633,3.8,4
54.72,-0.23,0.74,-0.429,3.5,2
61.33,0.48,0.27,-0.135,4,3
65.79,1.14,0.73,0.516,3,5
53.15,-0.23,0.29,0.687,2.3,5
57.21,0.79,0.95,1.172,4,7
45.23,0.13,0.95,0.597,3.3,7
46.74,0.13,0.07,0.503,3.3,5
69.16,0.97,1.18,0.033,4,4
44.39,0.01,0.06,-0.26,3.5,4
49.71,-0.23,0.3,-1.204,2.3,4
54.44,-1.53,-0.85,0.808,3,6
54.8,-0.1,-0.2,0.6,3,6
55.42,-0.1,0.07,-0.619,2.8,3
60.82,0.66,0.95,-0.142,4,4
65.22,-0.45,-0.85,-0.374,2.5,3
45.45,-0.85,0.3,0.036,3.3,5
64.04,-0.01,0.98,0.101,4,5
51.06,-0.45,0.07,-0.254,3.8,3
57.94,-0.47,0.07,0.767,2.5,5
62.49,-0.1,-0.42,0.186,2.8,4
49.8,0.36,0.55,-1.004,2.5,2
40.35,-0.64,-0.35,-0.374,1.9,2
65.22,-0.1,0.07,0.626,3,6
42.67,-0.46,0.05,-0.563,3,3
57.23,-0.49,-0.19,-0.224,2.8,2
66.15,0.33,0.71,0.173,4,5
59.43,0.12,0.3,0.03,3.3,3
39.16,-0.1,0.08,-0.919,1.5,2
48.92,1.12,0.08,-1.032,2.3,2
66.49,-0.22,0.51,0.852,4,5
50.12,0.09,0.73,-0.234,2.5,3
49.04,-0.1,-0.14,-0.449,1.8,3
45.11,-0.28,0.07,0.515,2.8,5
40.8,-0.88,-0.85,-0.129,1.8,5
68.05,0.3,0.07,-0.298,3,3
57.7,-0.44,-1.34,-0.384,3.5,3
45.19,0.52,0.77,0.486,3.5,5
38.72,-0.1,0.07,-0.413,1.5,3
60.29,0.56,0.3,0.063,4,2
53.73,-0.45,0.48,0.313,3.5,5
58.38,-0.27,-0.4,-0.194,2.5,3
63.59,-0.24,0.53,1.152,3.8,6
51.69,0.55,0.74,-0.561,4,2
44.25,-0.06,0.07,-0.756,2.5,2
59.77,-0.1,0.29,-0.168,3.5,4
57.4,-0.45,-0.39,-0.567,4,3
52.17,-0.1,-0.37,0.398,3.8,5
33.7,-0.66,-0.42,-0.122,1.2,2
54.44,-0.1,0.07,0.344,4,5
41.62,0.36,0.07,1.155,2,7
58.16,0.46,0.36,-0.435,3.5,2
60.61,0.09,0.27,0.079,3.8,5
54.2,-0.48,-1.03,0.144,3.8,7
64.17,0.34,0.07,1.553,3.8,7
61.59,-0.08,0.28,-0.007,2.8,2
59.06,-0.33,-0.16,-0.026,3,2
31.65,-0.27,-0.14,-0.784,2.5,1
46.64,0.26,0.54,-1.04,3,2
52.56,1.33,0.96,0.934,3.5,5
43.84,0.34,0.48,0.864,3.3,6
51.58,0.57,0.98,0.485,3.8,2
38.5,-0.06,-1.04,0.482,2.8,4
60.51,0.38,0.78,-0.683,3.8,4
52.44,-0.1,0.07,1.874,4,6
60.22,0.36,0.74,0.449,3.3,4
50.88,-0.45,-0.14,0.917,3.5,5
59.33,0.79,0.07,0.601,2.8,6
47.77,-0.22,-0.59,0.45,2.5,7
62.4,-0.44,-0.17,1.401,3.3,6
64.96,0.23,0.11,0.357,4,4
