rank,school,score,peer,expert_score,gre_verbal,gre_quant,doc_accept,phd_student_faculty_ratio,phd_granted_per_faculty,funded_research,funded_research_per_faculty,enroll
93, University of Houston (TX),42,3,3.2,153,148,31.2,3.9,1.5,5.6,104.2,655
93, University of South Carolina,42,3.1,3.6,151,148,51.6,3,0.7,3,38.6,1281
93, University of South Florida,42,2.9,3,150,147,69.8,3.6,0.7,14.9,163.6,1159
99, Kent State University (OH),41,2.9,3.4,151,149,41.8,3.1,0.5,5.8,51.9,1607
99, University of Central Florida,41,2.9,3,154,150,43.1,2.6,1.1,5.7,79.7,1646
101, Ball State University (IN),40,2.9,3.2,153,149,56.6,1.7,0.5,3.5,41.2,3303
101, Marquette University (WI),40,2.9,3.2,158,148,75,0.9,0.1,0.1,9,141
101, Miami University (OH),40,3.1,3.7,,,44.7,1.5,,1.2,15.7,722
101, New Mexico State University,40,2.6,2.4,156,152,47.1,2.4,0.5,13.3,221.1,705
101, Portland State University (OR),40,2.9,3,,,62.5,1,0.4,7.4,163.4,1226
101, University of Alabama—Birmingham,40,2.9,2.9,149,144,65.4,0.9,0.3,4.8,110.5,730
101, University of California—Santa Cruz,40,2.7,3.1,157,147,42.4,2.8,0.6,1.4,117.9,111
101, University of Dayton (OH),40,2.7,3.1,157,144,33.3,1.5,0.2,3.5,68,613
101, University of Maine,40,3,3.1,154,147,86.4,1,0.3,0.9,36.3,414
101, University of Mississippi,40,2.8,3.3,148,145,70.4,2,0.3,9.1,190,603
101, University of Missouri—Kansas City,40,2.9,3.3,,,20.2,1.6,0.4,,,434
112, Appalachian State University (NC),39,2.5,3.1,156,147,81.8,0,0,2.1,2.9,881
112, Louisiana State University—Baton Rouge,39,3.1,3.5,149,142,64.4,2.4,0.7,,,725
112, Old Dominion University (Darden) (VA),39,2.7,3.1,150,147,71.2,1.7,0.5,12.1,124.7,1514
112, Texas Tech University,39,2.8,3.4,151,146,51.2,4.5,1.2,9.4,153.5,1426
112, University of Nevada—Reno,39,2.6,2.8,154,147,81.8,1.4,0.5,9.1,228.4,540
112, University of Texas—Arlington,39,2.8,3.4,150,146,48.6,1.2,0.2,0.6,19.9,2004
112, University of Wyoming,39,2.8,3.3,156,149,70,1.7,0.4,2.8,52.4,563
112, Wayne State University (MI),39,2.7,2.9,152,150,12.9,3.2,0.8,4,82.7,1419
120, Claremont Graduate University (CA),38,3.1,3.7,152,145,67,11.3,2.7,1.7,130.8,383
120, Howard University (DC),38,3,3.3,148,142,48.9,3.3,0.6,2.2,76.1,231
120, Illinois State University,38,2.7,3.1,150,148,84.2,0.8,0.2,8.8,62.2,881
120, Mills College (CA),38,2.7,3.4,,,85.2,3.3,0.5,2.7,248.4,202
120, Ohio University,38,3,3.4,149,145,43,1.7,0.6,1.4,21.9,826
120, Pennsylvania State University—Harrisburg,38,2.8,3.3,,,100,1.8,0.3,1.8,252,130
120, University of Colorado—Denver,38,3.1,3.1,,,75,5.1,0.6,5.5,142.2,1323
120, University of South Dakota,38,2.8,3.3,150,146,47.6,1.6,0.9,2.6,79.9,484
120, Western Michigan University,38,2.8,3,152,147,34,1.7,0.4,3.7,38.4,1371
120, West Virginia University,38,2.8,3,152,148,39.8,1.8,0.7,3.1,58.5,788
